Date,IPCA_Index
01/01/1994,141.31
01/02/1994,198.22
01/03/1994,282.96
01/04/1994,403.73
01/05/1994,581.49
01/06/1994,857.29
01/07/1994,915.93
01/08/1994,932.97
01/09/1994,947.24
01/10/1994,972.06
01/11/1994,999.37
01/12/1994,1016.46
01/01/1995,1033.74
01/02/1995,1044.28
01/03/1995,1060.47
01/04/1995,1086.24
01/05/1995,1115.24
01/06/1995,1140.44
01/07/1995,1167.35
01/08/1995,1178.91
01/09/1995,1190.58
01/10/1995,1207.37
01/11/1995,1225.12
01/12/1995,1244.23
01/01/1996,1260.9
01/02/1996,1273.89
01/03/1996,1278.35
01/04/1996,1294.46
01/05/1996,1310.25
01/06/1996,1325.84
01/07/1996,1340.56
01/08/1996,1346.46
01/09/1996,1348.48
01/10/1996,1352.53
01/11/1996,1356.86
01/12/1996,1363.24
01/01/1997,1379.33
01/02/1997,1386.23
01/03/1997,1393.3
01/04/1997,1405.56
01/05/1997,1411.32
01/06/1997,1418.94
01/07/1997,1422.06
01/08/1997,1421.78
01/09/1997,1422.63
01/10/1997,1425.9
01/11/1997,1428.32
01/12/1997,1434.46
01/01/1998,1444.64
01/02/1998,1451.29
01/03/1998,1456.22
01/04/1998,1459.71
01/05/1998,1467.01
01/06/1998,1467.3
01/07/1998,1465.54
01/08/1998,1458.07
01/09/1998,1454.86
01/10/1998,1455.15
01/11/1998,1453.4
01/12/1998,1458.2
01/01/1999,1468.41
01/02/1999,1483.83
01/03/1999,1500.15
01/04/1999,1508.55
01/05/1999,1513.08
01/06/1999,1515.95
01/07/1999,1532.47
01/08/1999,1541.05
01/09/1999,1545.83
01/10/1999,1564.23
01/11/1999,1579.09
01/12/1999,1588.56
01/01/2000,1598.41
01/02/2000,1600.49
01/03/2000,1604.01
01/04/2000,1610.75
01/05/2000,1610.91
01/06/2000,1614.62
01/07/2000,1640.62
01/08/2000,1662.11
01/09/2000,1665.93
01/10/2000,1668.26
01/11/2000,1673.6
01/12/2000,1683.47
01/01/2001,1693.07
01/02/2001,1700.86
01/03/2001,1707.32
01/04/2001,1717.22
01/05/2001,1724.26
01/06/2001,1733.23
01/07/2001,1756.28
01/08/2001,1768.57
01/09/2001,1773.52
01/10/2001,1788.24
